model	sampleSize	binLeft	binRight	count	expected	chiSq	chiP	ksD	ksP	pitL1	nScored	nZeroed
ccd1	3000	0.650000	0.700000	13475	13715.750000	141.876000	0.00000	0.009247	4.29101e-13	0.019355	274315	22685
ccd1	3000	0.700000	0.750000	13375	13715.750000	141.876000	0.00000	0.009247	4.29101e-13	0.019355	274315	22685
ccd1	3000	0.750000	0.800000	13251	13715.750000	141.876000	0.00000	0.009247	4.29101e-13	0.019355	274315	22685
ccd1	3000	0.800000	0.850000	13407	13715.750000	141.876000	0.00000	0.009247	4.29101e-13	0.019355	274315	22685
ccd1	3000	0.850000	0.900000	13580	13715.750000	141.876000	0.00000	0.009247	4.29101e-13	0.019355	274315	22685
ccd1	3000	0.900000	0.950000	13497	13715.750000	141.876000	0.00000	0.009247	4.29101e-13	0.019355	274315	22685
ccd1	3000	0.950000	1.000000	12989	13715.750000	141.876000	0.00000	0.009247	4.29101e-13	0.019355	274315	22685
ccd0	300	0.000000	0.050000	434	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.050000	0.100000	456	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.100000	0.150000	544	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.150000	0.200000	569	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.200000	0.250000	631	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.250000	0.300000	632	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.300000	0.350000	724	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.350000	0.400000	703	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.400000	0.450000	746	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.450000	0.500000	845	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.500000	0.550000	878	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.550000	0.600000	972	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.600000	0.650000	988	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.650000	0.700000	1115	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.700000	0.750000	1201	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.750000	0.800000	1446	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.800000	0.850000	1615	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.850000	0.900000	2044	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.900000	0.950000	2568	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	300	0.950000	1.000000	7231	1317.100000	32301.231342	0.00000	0.316061	1.88732e-10	0.631577	26342	3358
ccd0	1000	0.000000	0.050000	1498	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.050000	0.100000	1739	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.100000	0.150000	1907	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.150000	0.200000	1980	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.200000	0.250000	2100	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.250000	0.300000	2178	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.300000	0.350000	2386	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.350000	0.400000	2641	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.400000	0.450000	2664	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.450000	0.500000	2760	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.500000	0.550000	3074	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.550000	0.600000	3305	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.600000	0.650000	3526	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.650000	0.700000	3956	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.700000	0.750000	4320	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.750000	0.800000	4719	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.800000	0.850000	5602	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.850000	0.900000	6827	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.900000	0.950000	9108	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	1000	0.950000	1.000000	28254	4727.200000	137725.042562	0.00000	0.328106	3.86483e-10	0.653287	94544	4456
ccd0	3000	0.000000	0.050000	4621	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.050000	0.100000	5200	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.100000	0.150000	5854	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.150000	0.200000	6028	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.200000	0.250000	6409	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.250000	0.300000	6830	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.300000	0.350000	7118	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.350000	0.400000	7740	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.400000	0.450000	8122	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.450000	0.500000	8459	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.500000	0.550000	9356	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.550000	0.600000	10116	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.600000	0.650000	10658	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.650000	0.700000	11605	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.700000	0.750000	12798	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.750000	0.800000	14422	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.800000	0.850000	17017	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.850000	0.900000	20477	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.900000	0.950000	28083	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
ccd0	3000	0.950000	1.000000	90674	14579.350000	461811.063905	0.00000	0.336274	8.15174e-10	0.671728	291587	5413
