model	sampleSize	binLeft	binRight	count	expected	chiSq	chiP	ksD	ksP	pitL1	nScored	nZeroed
regccd	1000	0.450000	0.500000	4797	4776.300000	127.657852	0.00000	0.017280	8.64087e-13	0.032697	95526	4474
regccd	1000	0.500000	0.550000	4907	4776.300000	127.657852	0.00000	0.017280	8.64087e-13	0.032697	95526	4474
regccd	1000	0.550000	0.600000	4702	4776.300000	127.657852	0.00000	0.017280	8.64087e-13	0.032697	95526	4474
regccd	1000	0.600000	0.650000	4748	4776.300000	127.657852	0.00000	0.017280	8.64087e-13	0.032697	95526	4474
regccd	1000	0.650000	0.700000	4641	4776.300000	127.657852	0.00000	0.017280	8.64087e-13	0.032697	95526	4474
regccd	1000	0.700000	0.750000	4581	4776.300000	127.657852	0.00000	0.017280	8.64087e-13	0.032697	95526	4474
regccd	1000	0.750000	0.800000	4539	4776.300000	127.657852	0.00000	0.017280	8.64087e-13	0.032697	95526	4474
regccd	1000	0.800000	0.850000	4569	4776.300000	127.657852	0.00000	0.017280	8.64087e-13	0.032697	95526	4474
regccd	1000	0.850000	0.900000	4584	4776.300000	127.657852	0.00000	0.017280	8.64087e-13	0.032697	95526	4474
regccd	1000	0.900000	0.950000	4584	4776.300000	127.657852	0.00000	0.017280	8.64087e-13	0.032697	95526	4474
regccd	1000	0.950000	1.000000	4477	4776.300000	127.657852	0.00000	0.017280	8.64087e-13	0.032697	95526	4474
regccd	3000	0.000000	0.050000	15259	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.050000	0.100000	15204	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.100000	0.150000	15070	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.150000	0.200000	15269	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.200000	0.250000	15306	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.250000	0.300000	15067	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.300000	0.350000	15061	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.350000	0.400000	14925	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.400000	0.450000	14837	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.450000	0.500000	14894	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.500000	0.550000	14720	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.550000	0.600000	14847	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.600000	0.650000	14794	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.650000	0.700000	14473	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.700000	0.750000	14306	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.750000	0.800000	14231	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.800000	0.850000	14372	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.850000	0.900000	14430	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.900000	0.950000	13923	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
regccd	3000	0.950000	1.000000	13582	14728.500000	288.006043	0.00000	0.013178	1.42686e-12	0.025739	294570	5430
kreg	300	0.000000	0.050000	1686	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.050000	0.100000	1655	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.100000	0.150000	1580	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.150000	0.200000	1612	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.200000	0.250000	1564	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.250000	0.300000	1623	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.300000	0.350000	1634	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.350000	0.400000	1523	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.400000	0.450000	1442	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.450000	0.500000	1469	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.500000	0.550000	1474	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.550000	0.600000	1412	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.600000	0.650000	1542	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.650000	0.700000	1363	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.700000	0.750000	1375	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.750000	0.800000	1288	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
