model	sampleSize	binLeft	binRight	count	expected	chiSq	chiP	ksD	ksP	pitL1	nScored	nZeroed
ccd1	300	0.350000	0.400000	1053	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.400000	0.450000	1051	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.450000	0.500000	1115	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.500000	0.550000	1076	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.550000	0.600000	1079	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.600000	0.650000	1040	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.650000	0.700000	1118	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.700000	0.750000	1157	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.750000	0.800000	1018	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.800000	0.850000	1079	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.850000	0.900000	992	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.900000	0.950000	1041	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.950000	1.000000	1034	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	1000	0.000000	0.050000	4398	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.050000	0.100000	4463	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.100000	0.150000	4370	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.150000	0.200000	4340	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.200000	0.250000	4394	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.250000	0.300000	4433	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.300000	0.350000	4321	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.350000	0.400000	4244	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.400000	0.450000	4269	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.450000	0.500000	4424	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.500000	0.550000	4233	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.550000	0.600000	4305	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.600000	0.650000	4253	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.650000	0.700000	4220	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.700000	0.750000	4194	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.750000	0.800000	4084	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.800000	0.850000	4204	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.850000	0.900000	4137	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.900000	0.950000	4238	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	1000	0.950000	1.000000	4168	4284.600000	49.581478	0.000150991	0.009773	1.54348e-07	0.020693	85692	14308
ccd1	3000	0.000000	0.050000	14294	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.050000	0.100000	14225	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.100000	0.150000	14037	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.150000	0.200000	14202	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.200000	0.250000	14375	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.250000	0.300000	14070	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.300000	0.350000	14065	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.350000	0.400000	13903	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.400000	0.450000	13912	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.450000	0.500000	13994	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.500000	0.550000	13780	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.550000	0.600000	13740	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.600000	0.650000	14031	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.650000	0.700000	13690	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.700000	0.750000	13560	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.750000	0.800000	13442	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.800000	0.850000	13518	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.850000	0.900000	13724	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.900000	0.950000	13628	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd1	3000	0.950000	1.000000	13084	13863.700000	142.716894	0.00000	0.009134	2.92655e-13	0.018807	277274	22726
ccd0	300	0.000000	0.050000	440	1331.350000	32342.027679	0.00000	0.315105	1.39560e-10	0.629605	26627	3373
ccd0	300	0.050000	0.100000	466	1331.350000	32342.027679	0.00000	0.315105	1.39560e-10	0.629605	26627	3373
ccd0	300	0.100000	0.150000	549	1331.350000	32342.027679	0.00000	0.315105	1.39560e-10	0.629605	26627	3373
